ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
609664,"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Hong Tin Court,https://www.28hse.com/en/buy/estate-2013,For sale,5.68,12188.0,14200.0,,,2,466 ,400 ,,,,385,0,19 days before,19 days before,6 days before,2018.09.16,07-07-2018
564986,"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,8 Baker Court,https://www.28hse.com/en/buy/estate-6799,For sale,3.9,,21081.0,,Low level,open style,,185 ,$ 1200,6.0,,2157,1,2 months before,19 days before,8 hours before,2018.07.11,07-07-2018
475117,"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Apartment,https://www.28hse.com/en/buy/estate-2506,For sale,4.3,,14052.0,,High level,2,,306 ,,,,3270,0,23 days before,19 days before,3 days before,2018.09.11,07-07-2018
609716,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Yau Lee Building,https://www.28hse.com/en/buy/estate-2871,For sale,4.58,9542.0,14313.0,,Mid level,2,480 ,320 ,,46.0,,330,0,18 days before,,7 days before,2018.09.16,07-07-2018
609723,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Apartment,https://www.28hse.com/en/buy/estate-2807,For sale,4.6,10222.0,13031.0,,,2,450 ,353 ,,,,330,0,18 days before,15 days before,22 hours before,2018.09.16,07-07-2018
567552,"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Shing Lum Building,https://www.28hse.com/en/buy/estate-7935,For sale,3.95,,11652.0,,High level,,,339 ,,44.0,,1190,0,2 months before,2 months before,1 hours before,2018.07.15,07-07-2018
609819,,,,,For sale,5.5,,14474.0,,Mid level,2,,380 ,,,,375,0,18 days before,13 days before,7 days before,2018.09.16,07-07-2018
610001,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Bute Wah Mansion,https://www.28hse.com/en/buy/estate-7663,For sale,7.38,7687.0,12300.0,,Mid level,3,960 ,600 ,,54.0,,275,0,18 days before,17 days before,2 days before,2018.09.17,07-07-2018
605747,"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,i-home,https://www.28hse.com/en/buy/estate-5006,For sale,6.98,,19662.0,,,1,,355 ,,9.0,,533,0,25 days before,25 days before,2 days before,2018.09.10,07-07-2018
603024,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Yuen King Building,https://www.28hse.com/en/buy/estate-2848,For sale,4.95,,12595.0,,,2,,393 ,,54.0,,330,0,29 days before,29 days before,2 days before,2018.09.06,07-07-2018
602362,"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Apartment,https://www.28hse.com/en/buy/estate-2392,For sale,4.78,,16483.0,,High level,,,290 ,,,,305,0,30 days before,30 days before,1 days before,2018.09.05,07-07-2018
608284,"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Sunning Court,https://www.28hse.com/en/buy/estate-2495,For sale,5.68,,16755.0,,Low level,2,,339 ,,38.0,,190,0,21 days before,21 days before,15 minutes before,2018.09.14,07-07-2018
