Region,Region Link,Estate,Estate Link,ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Hong Fai Building,https://www.28hse.com/en/buy/estate-2500,620642,For sale,HK$ 4.29M ,,"$16,957",,Mid level,,,253 ,,34,NOS.2/20 KWONG SHING STREET,1951,0,8 days before,8 days before,3 hours before,2018.08.03,07-12-2018
,,,,430401,For sale,HK$ 2.88M ,"$4,114","$4,114",,,2,700 ,700 ,,,--,11155,4,4 days before,1 days before,1 days before,2018.08.07,07-12-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Lai Yan Court,https://www.28hse.com/en/buy/estate-2523,609462,For sale,HK$ 5.80M ,,"$10,761",,Mid level,2,,539 ,$ 590,17,NO.278 LAI KING HILL ROAD,4939,1,24 days before,,5 days before,2018.07.18,07-12-2018
,,,,622485,For sale,HK$ 2.68M ,"$6,872",,,Mid level,2,390 ,,,,--,1774,0,5 days before,4 days before,4 hours before,2018.08.06,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,593895,For sale,HK$ 2.98M ,"$7,450","$7,450",,,,400 ,400 ,,,--,5927,2,5 days before,5 days before,3 days before,2018.08.06,07-12-2018
,,,,622503,For sale,HK$ 2.99M ,"$3,322",,,High level,2,900 ,,,,--,2964,2,5 days before,5 days before,4 hours before,2018.08.06,07-12-2018
,,,,622480,For sale,HK$ 2.55M ,"$5,667",,,Ground Floor,1,450 ,,,,--,1406,0,5 days before,1 days before,4 hours before,2018.08.06,07-12-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Wing Loong Building,https://www.28hse.com/en/buy/estate-2490,626612,For sale,HK$ 5.80M ,,"$20,714",,Low level,2,,280 ,,27,"260, 262, 264 & 266 CASTLE PEAK ROAD",40,0,3 hours before,3 hours before,2 days before,2018.08.11,07-12-2018
"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,Laguna Verde,https://www.28hse.com/en/buy/estate-3050,626630,For sale,HK$ 10.40M ,"$14,092","$19,259",,Mid level,2,738 ,540 ,,16,8 LARUNA VERDE AVENUE,45,0,2 hours before,,2 hours before,2018.08.11,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,598175,For sale,HK$ 4.38M ,"$6,257",,,,,700 ,,,,--,2106,0,5 days before,5 days before,2 days before,2018.08.06,07-12-2018
